Artist,Listeners,Daily Trend,Peak,PkListeners
The Clash,11627935,-23901,615,12028653
Sade,11627309,-11727,570,12799239
AURORA,11613956,3975,473,13167918
V,11606153,302681,668,11606153
Saiko,11603478,210934,669,11603478
A$AP Ferg,11600864,-906,585,12133735
James Bay,11592902,-75770,571,11931200
Spice Girls,11577466,-31224,591,12466014
Lyanno,11574495,-35490,416,14535766
Paul McCartney,11573817,34147,500,12562122
Tracy Chapman,11560802,-39568,632,11917981
INNA,11553441,-24594,646,11722076
Mari Fernandez,11536832,11548,515,12592523
Johnny Cash,11534601,-7545,592,11955065
Wham!,11533536,7873,677,11533536
Papa Roach,11525569,14786,624,11525569
Aretha Franklin,11524332,-12877,546,13183598
Key Glock,11519380,52042,642,11519380
The Pussycat Dolls,11516978,-1145,619,11566351
Ciara,11498096,-29467,639,11780496
Kate Bush,11490818,-452,424,14101915
Sukhwinder Singh,11489132,56895,686,11489132
FISHER,11488151,-6427,682,11494578
Lionel Richie,11482572,-7760,641,11623824
Anu Malik,11473160,-3301,608,12058014
WALK THE MOON,11444526,-23965,631,11883990
Simon & Garfunkel,11409572,1567,575,12013714
Marc Anthony,11403042,-9315,419,14118563
Yuvan Shankar Raja,11396407,9709,692,11396407
Billy Idol,11379187,-1662,628,11900592
Altamash Faridi,11376980,-39361,530,13542217
John Newman,11366247,-19411,612,12154111
3 Doors Down,11363335,-26212,681,11435840
Zac Brown Band,11359157,3249,654,11574609
John Martin,11351478,-26272,668,11535835
K. S. Chithra,11339272,-14727,692,11364537
Los Enanitos Verdes,11317703,30337,653,11538324
Cults,11316837,11862,463,13266271
Lin-Manuel Miranda,11315976,569,532,12025330
Mitski,11310399,29225,642,11457947
Prince,11296425,6771,630,11836356
Kadu Martins,11268989,12573,706,11268989
Santa Fe Klan,11255812,143758,677,11255812
Devi Sri Prasad,11241644,15515,594,12101218
Tom Petty,11238824,16537,698,11238824
Moneybagg Yo,11237831,-14579,543,13361761
The Walters,11237281,2582,543,11865299
(G)I-DLE,11207374,-37538,599,12216685
Ãejo,11203209,-5023,653,11625762
Jorge & Mateus,11197401,20435,539,11885902
Brytiago,11182139,57329,615,11182139
YG,11179867,-14265,530,12471725
Dove Cameron,11178406,504512,367,15363797
Jaymes Young,11176774,-37989,530,13123344
The Doors,11176130,10514,633,11823570
Soulja Boy,11166216,6596,669,11166216
James Blake,11165921,42820,582,12512105
$uicideboy$,11158631,-24198,603,11182829
Leon Bridges,11155370,1794,674,11503891
Stromae,11146761,-14365,617,11758771
Joan Sebastian,11144520,2832,657,11169107
Diljit Dosanjh,11136581,32217,655,11708690
Amit Trivedi,11134514,7880,384,14989573
Manu Chao,11122415,-37867,650,11659241
LISA,11105985,-34180,534,13364607
Seafret,11059486,-19834,480,12965413
JhenÃ© Aiko,11026717,9468,593,11509802
Israel & Rodolffo,10999760,17351,656,11483711
H.E.R.,10995651,12114,503,12500641
SOG,10993866,97184,734,10993866
Wesley SafadÃ£o,10977362,43324,630,10997207
YNW Melly,10970283,278,619,12098740
Gurinder Gill,10967648,3004,692,11301680
Diddy,10949396,-46488,508,12776020
Maiara & Maraisa,10933833,50480,622,10933833
Carrie Underwood,10920421,-64633,663,11522881
Timmy Trumpet,10917802,-24114,648,10941916
Rod Stewart,10902571,686,631,11575035
The Smashing Pumpkins,10902411,-13017,659,11044641
Bailey Zimmerman,10899853,1914,739,10899853
Bob Sinclar,10876773,-10800,725,10955141
La Oreja de Van Gogh,10876307,14827,713,10876307
Gotye,10840730,29316,661,10840730
Nas,10831547,-50880,547,13392042
Dimitri Vegas & Like Mike,10829912,-4864,652,11669908
Yo Yo Honey Singh,10815334,30103,686,11186775
SofÃ­a Reyes,10804609,-6177,607,12276010
Counting Crows,10803347,-7562,734,10864205
Thaman S,10780487,4563,663,10780487
Cosculluela,10767894,90122,678,11011074
Hombres G,10757760,790,744,10758994
T.I.,10744267,64661,587,11230035
La Adictiva,10724164,-14577,647,11239076
Juan Luis Guerra 4.40,10718577,-128,700,10964025
TLC,10668115,23708,700,11111317
Lenny Kravitz,10665928,-3762,697,10957172
Roxette,10649681,-6432,700,11155709
Justine Skye,10635767,-45301,539,11860302
Rammstein,10629300,-7080,636,11805127
INTERWORLD,10600701,4700,711,10809092
Disturbed,10586327,10856,680,10678951
Ben E. King,10584109,-51197,754,10701873
Ayra Starr,10558716,101958,541,12798195
Rudimental,10546446,-3350,704,11195138
Chance the Rapper,10543446,-1952,623,10952938
6ix9ine,10526119,-26141,584,12167814
Darell,10508541,-11758,683,10922504
Sasha Alex Sloan,10504600,-2335,463,14497829
Jeremy Zucker,10500742,-10697,513,12231275
Beach Weather,10491090,5898,597,11162772
Camila,10489182,14104,775,10489182
KHEA,10483684,9567,595,12238856
Soda Stereo,10471468,17151,777,10471468
Shouse,10465461,-27428,530,13218201
Mumford & Sons,10459358,4588,715,10459358
Korn,10456482,6119,733,10504909
Mary J. Blige,10456126,10476,696,10456126
Olivia Newton-John,10431333,26971,708,11031469
KALEO,10426944,83645,783,10426944
Survivor,10411352,-5284,723,10572103
John Lennon,10405541,37453,628,11118291
Guilherme & Benuto,10400018,37079,699,10856086
Cartel De Santa,10378022,-8757,376,15547760
2 Chainz,10353764,-15823,518,13821264
Kumar Sanu,10349727,3210,789,10352600
Danna Paola,10342684,-27840,531,12298665
Cazzu,10342214,50694,679,10701834
Shinda Kahlon,10329353,60849,792,10329353
bbno$,10325079,-4141,721,10348710
Gigi D'Agostino,10322082,-15920,773,10406240
Jordan Davis,10318612,-24049,689,11241855
A7S,10311540,-44,578,11363223
Fifth Harmony,10304947,3174,675,10680046
fun.,10301628,45551,594,12280955
Belanova,10284935,35238,799,10284935
FAST BOY,10276283,-17078,541,11900190
Flume,10274981,-687,640,10814253
Veigh,10271396,13980,802,10271396
Mc Livinho,10269046,2208,762,10591190
Regard,10268704,-175,594,11405051
TOMORROW X TOGETHER,10262457,-55041,660,11544021
Thomas Rhett,10242227,-20452,666,11239778
SAINt JHN,10240598,16196,614,10812618
Jess Glynne,10229614,-13781,707,10766008
Matheus Fernandes,10225156,58225,809,10225156
Zion,10224872,-15743,660,11549405
AJR,10205951,-25210,576,11478322
Kenny Loggins,10200387,-10615,718,10573523
Wizkid,10193951,-18717,523,13758308
Marco Antonio SolÃ­s,10190863,-1362,688,10296202
Shadab Faridi,10177076,-48062,584,12567527
Three Days Grace,10168254,41295,716,10307314
GAYLE,10166833,-36078,545,12635740
Kimbra,10161294,25682,724,10161294
Yusuf / Cat Stevens,10141636,-13376,722,10681674
Hans Zimmer,10132691,21153,725,10132691
Jessie Reyez,10131037,11813,241,21763207
Lizzy McAlpine,10123490,-37722,293,18459665
Sadhana Sargam,10114594,-2607,790,10217430
Taiu,10111704,-35270,494,13373236
Owl City,10095113,-12705,753,10331661
Supertramp,10076850,45542,826,10076850
NIKI,10066210,-33574,727,10179388
Simone Mendes,10064336,17330,828,10064336
Chief Keef,10046109,6124,701,10200557
Sting,10042495,-4389,698,10379484
MAGIC!,10042303,-25074,793,10339521
Natalia Lafourcade,10031467,-23810,705,10634148
Gera MX,10031334,-12460,725,10245917
Riton,10025454,-4445,685,11432336
TWICE,10023650,-19789,499,12855155
Sidhu Moose Wala,10022146,-20495,637,11847588
The Fray,10004725,-1473,820,10006198
Kelsea Ballerini,10001707,-104735,649,10570841
KayBlack,9993884,-16606,769,10492966
L7NNON,9985168,9275,583,11295456
Grupo Menos Ã Mais,9982472,57952,841,9982472
Trueno,9974071,7564,842,9974071
INXS,9960038,1697,809,10113379
Sleepy Hallow,9942289,-75172,838,10017461
Kany GarcÃ­a,9940323,-12558,843,9952938
Birdy,9918832,7668,662,10791626
Mae Stephens,9915545,-75301,611,11344894
Alfredo Olivas,9905823,-6034,770,10127826
Bacilos,9898399,-82319,780,10433365
MC Cabelinho,9894565,1482,818,10019022
Sum 41,9888073,-15145,816,10096879
Colbie Caillat,9887684,15909,834,9998534
Los Tigres Del Norte,9881792,-1443,781,10109410
Juan Gabriel,9873768,36924,777,9873768
Zac Efron,9872942,-74198,810,10200779
The Mamas & The Papas,9870923,8726,799,10043060
sped up + slowed,9853625,-21501,640,11797289
Otis Redding,9852094,-17055,812,10156799
BÃRNS,9846185,7182,820,10042261
Mc Pedrinho,9822284,-21856,766,10575967
Stormzy,9813546,-19322,690,10986282
Karthik,9812589,-4970,861,9817559
Dhvani Bhanushali,9808363,5998,643,11726344
Jimmy Eat World,9804332,-11485,831,9955254
Tim McGraw,9799293,-20592,790,10323631
Rage Against The Machine,9799094,-18234,737,10069643
Jason Aldean,9784148,-30590,698,11170383
Icona Pop,9756151,37243,805,9756151
Phoebe Bridgers,9745428,10185,817,9745428
Tego CalderÃ³n,9741345,-1030,746,10383550
MK,9741098,76186,871,9741098
Lunay,9722175,1683,651,10669807
The Black Keys,9720099,-40182,843,9922179
C. Tangana,9717884,25823,700,10662242
Ryan Gosling,9714871,-284389,537,13365753
Migrantes,9711549,-81840,428,14283705
Harris Jayaraj,9711316,359,877,9712164
BIA,9706788,96142,833,9706788
Nadin Amizah,9703327,16160,879,9703327
Fireboy DML,9700123,-12093,778,10491359
Isabel LaRosa,9700084,-11201,708,9880750
YOASOBI,9695052,-28210,760,10365956
Pedro CapÃ³,9673452,-2077,634,11680899
AgroPlay,9670733,10433,736,10800061
Rascal Flatts,9664065,-20964,822,10060800
James Carter,9656139,-7435,582,11924918
Kailash Kher,9653755,-48225,874,9748809
JuliÃ³n Ãlvarez y su NorteÃ±o Banda,9650635,12012,638,10658698
Mustard,9644589,-5086,648,10797192
Yuridia,9643462,-23707,569,11583989
Ofenbach,9635613,-42746,605,12268743
Cher,9635302,-18847,817,10072106
MARINA,9630446,24292,694,9930863
ILLENIUM,9625234,-16780,570,12528350
Ozzy Osbourne,9607590,33372,805,9607590
Bob Dylan,9595254,-144,718,10391094
Young Nudy,9589594,60036,819,10106926
AminÃ©,9576485,2918,632,11894189
LE SSERAFIM,9564802,-66218,641,11538091
Heart,9550535,12155,717,10760608
Pixies,9546160,12777,778,9688191
Cordae,9545919,-2495,689,11325024
R. D. Burman,9536148,12924,863,9770123
Jeet Gannguli,9529092,7109,752,10569963
Takeoff,9526541,31811,635,10587587
Fujii Kaze,9505719,-24256,584,11578504
Smash Mouth,9494485,44985,907,9494485
Vicente FernÃ¡ndez,9494414,-32664,802,10192747
Kansas,9491265,-6109,863,9780801
Matt Sassari,9482324,1378,809,10151818
Rag'n'Bone Man,9480937,54218,782,9480937
Ghea Indrawari,9471480,33821,912,9471480
Pink Sweat$,9468284,-38039,696,10134814
Shaan,9464733,10871,841,9767423
GIMS,9460495,-50638,746,10331035
Hoobastank,9455035,882,821,9661245
Kaliii,9446479,-13883,444,15169221
Bonnie Tyler,9446349,-6847,822,9640695
Mon Laferte,9437178,-7369,790,9444547
Gnarls Barkley,9429897,70983,920,9429897
Thalia,9419663,2021,699,9975578
No Doubt,9417196,-985,892,9483743
M.I.A.,9394684,36984,869,9763476
Sfera Ebbasta,9379484,-30490,703,11111971
Snow Patrol,9378617,-7354,853,9458459
Eric Church,9368340,10769,734,9854923
Ghost,9367569,25409,778,9577779
DMX,9361469,-12952,615,10919370
Louis Armstrong,9343207,-27053,870,9381586
Carla Morrison,9341520,-23048,565,11635580
ZZ Top,9327449,12092,644,11719790
El Fantasma,9318583,79517,813,9409267
Wolfine,9306575,779,933,9306575
Lola Indigo,9304364,-32406,555,12485738
Dilsinho,9304049,36902,906,9304049
ENHYPEN,9300952,8367,861,9694348
Ski Mask The Slump God,9300723,16632,738,10318769
Mahalini,9284052,885,772,10318564
Tulus,9281231,12906,895,9404134
Sam Hunt,9279020,-66340,770,10404841
Bakar,9258923,42460,817,10118759
MC PH,9252105,30573,942,9252105
XamÃ£,9250304,11266,604,10846179
Oliver Heldens,9245688,-66976,710,10165996
Dj Nk Da Serra,9242132,25336,945,9242132
Will Smith,9233761,-9027,850,9799337
Ajay-Atul,9225258,-8171,597,12421148
Kool & The Gang,9222624,-13297,875,9438307
DJ Matt D,9219446,5551,894,9504681
The Temptations,9207779,22845,935,9218250
Bryant Myers,9188847,12211,812,9278299
Portugal. The Man,9181962,46180,835,9664996
G. V. Prakash,9180441,21419,818,9270192
Noriel,9176518,7294,873,9179163
Jasiel NuÃ±ez,9176316,221020,955,9176316
Avenged Sevenfold,9167765,4200,833,9877855
Jimi Hendrix,9153763,-4524,791,9582538
Miranda!,9137951,-49774,708,10227443
Rvssian,9136365,-27492,600,11322904
Shiloh Dynasty,9129528,-15480,724,10081564
Edgardo NuÃ±ez,9125900,-20698,788,10379736
Ranveer Singh,9119186,82163,962,9119186
The Who,9116666,9768,937,9116666
Asha Bhosle,9113946,18636,964,9113946
Kavita Krishnamurthy,9113938,-10482,955,9124420
Vulgo FK,9106488,17038,966,9106488
Karan Aujla,9081861,13261,967,9081861
Ãngela Aguilar,9075992,-55196,619,10830921
Saweetie,9062270,-15412,703,10180323
Jon Pardi,9060857,23629,849,9868772
Capital Cities,9060812,32463,918,9333131
PolimÃ¡ Westcoast,9056736,-26116,415,14509409
Jimin,9050703,-26282,374,15723792
Rajat Nagpal,9050536,-1054,962,9084412
Willy William,9048318,-49494,780,10376125
Sajid-Wajid,9040861,22548,942,9124404
Oliver Anthony Music,9040509,168632,977,9040509
Micro TDH,9024902,27656,732,10282823
HUGEL,9008768,-13432,946,9063732
Sachet-Parampara,9006803,-4842,793,10271926
Simple Minds,8995075,-12690,937,9234833
ScHoolboy Q,8991045,8071,829,9019673
Benny Benassi,8990809,-27161,896,9259413
Duran Duran,8981644,9097,968,8981644
Beastie Boys,8963032,-28139,776,10144142
Deftones,8960980,14626,972,8960980
Lykke Li,8941780,14172,860,8941780
MAX,8940330,20319,750,9703746
"Tito ""El Bambino""",8936710,26032,989,8936710
Andy Grammer,8933805,-13903,733,9853235
Sufjan Stevens,8929085,22575,943,8929085
Paloma Faith,8919709,10156,579,11429573
NATTAN,8914591,28672,884,8914591
Dread Mar I,8911243,-75804,912,9302106
Blake Shelton,8906722,-9063,960,8987221
Roop Kumar Rathod,8904481,-17628,975,8971170
Guru Randhawa,8894713,3202,715,10872244
Joey Bada$$,8892251,2114,772,9716641
Sublime,8883246,-11176,916,9326078
Diego & Victor Hugo,8870831,76911,994,8870831
The Verve,8869659,-4523,967,8926326
Alan Jackson,8867885,12839,1002,8867885
Internet Money,8862363,-4866,587,11545527
Fetty Wap,8857960,3910,831,9053656
Men At Work,8853821,55002,1005,8853821
John Denver,8844512,-9326,851,9898171
MÃ¶tley CrÃ¼e,8840068,-3220,924,9165803
Vacations,8837886,15166,811,9516804
Nathan Dawe,8837246,-28523,895,9508252
Odetari,8829162,12568,1010,8829162
FINNEAS,8825874,-5127,992,8847886
Javed-Mohsin,8819514,-3102,782,10392053
Chicago,8818009,25112,824,10005709
Missy Elliott,8801557,46457,622,11145049
dhruv,8798928,-8302,795,9512222
LMFAO,8794691,-12313,905,9102613
Ella Eyre,8793489,-12755,825,9634618
Juan MagÃ¡n,8785089,11455,986,8785089
Miguel BosÃ©,8777253,-16817,653,11632240
The Doobie Brothers,8772139,-11780,946,9094086
Thirty Seconds To Mars,8754139,14701,968,8871576
Surf Curse,8737310,27901,837,9176404
Soft Cell,8734889,16760,1018,8734889
Norah Jones,8732547,-1314,823,8867934
The Outfield,8729389,28290,945,9178694
Kodaline,8721488,8526,836,9358952
Aya Nakamura,8707829,2274,734,10095739
The Cardigans,8700371,12140,1028,8700371
Richy Mitch & The Coal Miners,8698174,47643,1029,8698174
alt-J,8692531,901,843,9522225
Rvfv,8688100,79856,880,9583453
Miggy Dela Rosa,8680113,-36694,581,11442944
Two Feet,8672429,25521,856,8773770
Nikhita Gandhi,8671895,3869,683,10158586
Anggi Marito,8668727,-22120,887,9510926
Ali Gatie,8667629,-19089,756,9794001
The Jackson 5,8667464,27003,886,9341813
King Von,8651347,32665,857,9777031
VIZE,8642634,-23498,916,9126611
Creeds,8642479,16257,1040,8642479
Steve Miller Band,8635996,23491,1040,8635996
Talking Heads,8633094,4845,835,9941912
The MarÃ­as,8615841,-22459,887,9350682
Of Monsters and Men,8606023,12497,995,8606023
Kenny Chesney,8604177,-20908,880,9602722
Tiara Andini,8600932,10194,962,8967970
Ricardo Arjona,8561463,-13074,838,9021148
Hugo & Guilherme,8551755,-44,826,9528511
LANY,8534453,-13942,768,9300075
Zack Tabudlo,8533787,-2390,993,8641464
Sandro Cavazza,8523025,-16454,960,8984668
Standly,8521204,-23407,438,13833044
Mahalakshmi Iyer,8518616,-21844,1022,8659677
Duncan Laurence,8507203,9661,847,9233454
Maggie Rogers,8495392,-17247,1048,8522652
ACRAZE,8491332,-22523,577,11380380
Montell Fish,8480575,7832,1007,8480575
Grey,8479073,-13226,913,8679493
Bakermat,8470425,25554,1028,8524206
George Strait,8453718,25326,1060,8453718
JosÃ© JosÃ©,8451387,-2005,893,8457655
Dynoro,8443837,-21768,925,8527596
Tom Grennan,8443009,-29338,632,10804758
Gerardo Coronel,8435290,-21027,806,9613040
Paul Simon,8427600,-17893,932,9120134
Men I Trust,8422936,15261,1066,8422936
Old Dominion,8414360,-2188,973,8895218
Supernova Ent,8413196,-511,1046,8483150
Haze,8411986,-21714,1019,8597155
Sheryl Crow,8407938,33317,1069,8407938
Davido,8384146,-7878,1003,8713977
Dj Brunin XM,8380916,71833,1072,8380916
Dido,8380069,-15095,1039,8519938
LUM!X,8371785,-10957,830,9242972
Stray Kids,8369900,17281,887,9540156
Darius Rucker,8357257,-20284,1070,8377541
Starship,8344274,-4023,1054,8437754
Cheat Codes,8329659,-9674,608,10975050
Intense,8323154,-50,1054,8354447
Ray Charles,8307733,22422,954,8879777
America,8301858,-7099,836,9987492
Lenin RamÃ­rez,8298740,68,796,9012853
Deorro,8287012,-1755,952,9060314
Lauren Spencer Smith,8280624,7022,904,9427721
Calle 13,8280623,-23880,1033,8573634
Pailita,8274728,-1996,585,11280046
Gerardo Ortiz,8273401,18609,888,8801149
Mainstreet,8271320,16434,970,8436076
Fugees,8267043,13521,1062,8267043
Rekha Bhardwaj,8261857,30530,932,9098811
HARDY,8259284,-9042,947,8439819
Carlos Rivera,8256388,15416,847,8754994
Blxst,8254144,11103,771,9488271
Bibi Babydoll,8235771,69933,1094,8235771
Mc Paiva ZS,8226490,25652,897,8319214
Dei V,8223830,-161605,1072,8385435
The Vamps,8202829,12170,871,8639951
OMI,8189540,-2557,1014,8644180
ZÃ© Felipe,8185635,-18178,600,10925468
Tom Petty and the Heartbreakers,8183763,23534,957,9008396
LiL CaKe,8181885,-69874,470,13451768
Bvga Beatz,8180663,-1690,1084,8243029
Mabel,8176213,-14734,749,9481688
Santhosh Narayanan,8168323,-978,983,8605615
Abhijeet,8166513,11538,908,9303119
Varun Jain,8157904,-57655,817,10154680
Alan Menken,8137451,13443,753,10625887
Lee Brice,8137236,-11221,1012,8632311
Tito Double P,8130307,-302,1024,8561872
Miranda Lambert,8126024,3349,847,9945780
Iron Maiden,8124167,20608,937,8544793
Robert Miles,8120653,-6541,996,8703859
Willie Nelson,8118773,2815,1063,8118773
Dusty Springfield,8111448,19817,1114,8111448
MKTO,8109415,-11286,1020,8268756
Ha*Ash,8106767,11551,978,8106767
Sash!,8106511,22084,1089,8199995
Niklas Dee,8099854,62492,1118,8099854
JP Saxe,8087369,-49735,898,8627780
Omar Apollo,8084417,29283,592,11377789
Casper Magico,8078984,-19877,936,9193558
Cody Johnson,8078447,10247,1122,8078447
Elderbrook,8077241,15583,1057,8077241
American Authors,8071697,-4968,1078,8209997
WIU,8068432,-61560,701,9867079
Mc Daniel,8065244,157771,872,8544197
Jessie Murph,8054504,-35662,944,9191410
Oh Wonder,8051793,53565,944,9090385
Haricharan,8047463,986,1081,8073718
Gminxr,8045882,7904,1128,8045882
aespa,8043255,47202,1069,8071007
Keith Urban,8034893,-28142,909,9049969
BYOR,8029798,-26975,740,9536786
La Bouche,8015450,-22953,1073,8250843
UB40,8006128,-29735,1050,8392416
JP Cooper,7998244,-15659,826,8964796
Nina Simone,7984417,-5713,1027,8037059
Beach Bunny,7976203,52126,1130,7976203
Shweta Mohan,7976095,-4699,968,8062604
Selena,7967272,2274,947,8376374
John Travolta,7966275,26403,1080,8234398
Rashmi Virag,7965128,-14938,880,9440437
Victoria MonÃ©t,7961706,79229,1140,7961706
DJ 900,7958328,-16127,1018,8645994
MC Hariel,7952216,5946,1110,7952216
Sin Bandera,7951414,23545,1050,8194841
Majid Jordan,7941253,23716,1117,7941253
Murilo Huff,7938749,47751,1148,7938749
Years & Years,7938369,-1404,863,8720570
Diana Ross,7932655,-4931,957,8331381
Gryffin,7931217,-21070,654,10446335
Neeraj Shridhar,7927290,6549,822,9759193
Boston,7911611,-1558,1081,8170775
Brooks & Dunn,7911538,-5392,1024,8573894
VINAI,7909742,58963,1155,7909742
4 Non Blondes,7906098,4839,1148,7906098
Jay Sean,7903833,152,995,8063447
Parmish Verma,7895534,-1188,1156,7896722
Cali Y El Dandee,7894580,19244,1004,7894580
Why Don't We,7893717,52313,881,9228866
Ana Gabriel,7891142,-6246,1013,8004968
Belinda,7876933,-865,911,8261049
Skillet,7859277,-22331,1067,8228762
Keyshia Cole,7858105,37783,1164,7858105
Lady A,7845144,-34072,878,8478872
Patrick Watson,7837595,2985,928,8684924
IVE,7834887,-29791,608,11793543
Mario,7832468,5840,1070,8224894
Pineapple StormTv,7828956,-31277,1118,8011329
Freddie Dredd,7828226,-7414,651,10375038
J Hus,7824659,-22574,594,12569449
The Animals,7817616,10353,1125,7952143
Mike WiLL Made-It,7813540,78964,1173,7813540
El Jordan 23,7812264,-2650,1152,7819361
Omega,7808481,-19709,1062,8303230
ZECCA,7806625,-38078,1104,8088463
Luny Tunes,7800306,-5556,1153,7813052
Haddaway,7800181,-16642,1027,8484048
Shaarib Toshi,7784926,-1143,963,8923040
Antara Mitra,7784493,23673,1002,8673836
Sam Cooke,7781786,-2077,1040,8272187
Iggy Azalea,7781657,-4794,1020,8008146
Nusrat Fateh Ali Khan,7778749,88698,997,8542660
Powfu,7778111,13644,913,8230459
George Harrison,7766172,2607,1002,8521426
Etta James,7760975,-3994,1070,7780859
Caralisa Monteiro,7753051,7782,695,10073438
Jul,7744953,-16142,1032,8479209
John Summit,7731291,21913,1095,7731291
Masked Wolf,7731075,-3336,924,8528561
Crazy Mano,7730113,24986,1167,7730113
Audioslave,7718558,-10230,1128,7797330
Kavita Seth,7711859,-891,1110,7918741
GAMPER & DADONI,7710169,-8908,1142,7837654
Brando,7706875,19860,1124,7925404
Virgoun,7705521,-508,1193,7706029
Palak Muchhal,7704874,26129,913,8770113
David Bisbal,7689627,11518,954,8076574
Novo Amor,7688177,16929,1080,7933042
Baco Exu do Blues,7685466,43695,1086,7819392
Wallows,7683386,78789,963,8772525
Jungle,7678435,2556,1201,7678435
Axwell /\ Ingrosso,7674902,-11967,1172,7728680
Def Leppard,7672897,-3014,994,8333121
Two Door Cinema Club,7660633,15369,1200,7660633
Naresh Iyer,7657475,12049,1204,7657475
Nick Jonas,7656611,4960,844,8943545
Bob Seger,7650690,43244,1206,7650690
Tion Wayne,7646535,24249,902,8886575
Cascada,7633823,4062,1072,7761486
Kenny Rogers,7625035,-15465,1082,7822977
Connor Price,7622811,-6247,908,8497650
Queens of the Stone Age,7621932,-12735,1037,8472804
Tz da Coronel,7620486,5282,1206,7620486
Laura Pausini,7615297,-13734,827,9040595
Guaynaa,7611074,-12123,923,8534285
Marc SeguÃ­,7596817,-4166,1213,7600983
HAIM,7591333,-66276,920,9332787
Wall Hein,7591186,-39761,990,8785923
Natasha Bedingfield,7586238,13453,1214,7586238
Joan Jett & the Blackhearts,7580144,37452,1214,7580144
Lainey Wilson,7573256,4682,1189,7626700
Vintage Culture,7569887,13499,1053,7849803
Julian Perretta,7565070,-19654,1155,7755492
RÃ­o Roma,7550315,507,1021,7654075
Pamungkas,7549092,-8953,1170,7641250
Jelly Roll,7544680,-13925,1150,7795926
Mother Mother,7542393,10464,1008,7933220
Ilaiyaraaja,7539060,3469,1168,7551673
Alice In Chains,7538490,13875,1160,7594340
Trey Songz,7535981,39295,1091,7570205
Rich Brian,7532714,698,919,8254977
Neil Diamond,7529562,-3425,1102,8108826
Lil Mosey,7524816,4955,939,8289306
The Paper Kites,7524426,25623,1235,7524426
Rod Wave,7523338,21550,925,8562500
BoyWithUke,7515875,-18892,743,9580542
Pepe Aguilar,7500285,-24930,1185,7643143
MIKA,7498963,-11563,1168,7513747
Hiphop Tamizha,7498378,5253,1240,7498378
Cristian Castro,7495718,192,1067,7542953
Raim Laode,7492300,-8180,913,8878058
AlemÃ¡n,7484783,41995,918,8226286
The Temper Trap,7478706,-408,1176,7498017
Genesis,7477033,2925,1096,7649870
MF DOOM,7472553,4671,1229,7472553
Soolking,7469582,5586,1224,7491404
Ella Mai,7467769,11925,917,8167244
Jon Z,7467728,20667,1249,7467728
Carlos Baute,7465000,-23702,1183,7658070
The Wanted,7461981,3830,1178,7506378
Rise Against,7461922,-1985,1158,7713857
Jaideep Sahni,7460475,11993,1198,7460475
Dennis Lloyd,7459916,35680,1254,7459916
Alisha Chinai,7450826,-16172,1238,7477259
Kevin Kaarl,7449806,14477,1052,7635316
Iyaz,7442603,-4159,1019,8556472
Ricardo Montaner,7441261,-21816,1040,7854090
La Arrolladora Banda El LimÃ³n De Rene Camacho,7436924,-6503,1068,7945891
Chris Jedi,7433356,-16871,767,9356538
MÃ,7427902,-25176,1180,7669700
Franz Ferdinand,7425790,-14544,1177,7513658
Leo Santana,7424473,-39578,489,12793052
Mc IG,7424060,91484,1187,7424060
Melody,7419451,8981,1159,7720840
Neon Trees,7410573,-6270,1170,7521599
Kishore Kumar,7398777,14726,1265,7398777
Manuel Medrano,7392499,-60784,1144,7828358
RocÃ­o DÃºrcal,7388763,3693,1201,7461701
Roy Orbison,7388425,-15762,1181,7636001
Young the Giant,7385436,-48381,1181,7686796
Franco De Vita,7378841,-6171,1167,7389554
Trinix,7374660,5808,1270,7374660
Sleeping At Last,7370266,6441,1270,7370266
Tinashe,7367881,78049,1088,7367881
Incubus,7359385,6064,1215,7431933
Beck,7359167,13814,1214,7510815
Chuck Berry,7353276,6213,1185,7657716
Ludovico Einaudi,7346111,5407,919,8279959
Johann Sebastian Bach,7343195,20541,942,8173764
Feby Putri,7341988,2077,1214,7489978
ZoÃ©,7340262,-5901,1153,7607862
MatuÃª,7330801,-23855,920,9088979
Nakash Aziz,7330453,48175,1244,7330453
Hindia,7329545,20929,1285,7329545
Gazo,7329253,26870,1286,7329253
Kanii,7328172,-6816,961,8387470
JENNIE,7322686,36907,1172,7716100
Kenshi Yonezu,7322583,-31314,1024,7785393
Ikky,7319262,34374,1220,7339621
BONES,7310305,-21165,994,7968560
Edward Maya,7309240,-2558,1149,7804662
Sofi Tukker,7308618,-13574,972,8283427
KAYTRANADA,7302087,-14658,894,9416102
Fitz and The Tantrums,7299169,-8900,1253,7368380
Fivio Foreign,7298121,-9339,706,10141150
Lil Jon,7297027,9848,1228,7431810
SEVENTEEN,7288318,7698,889,9240435
Jarabe De Palo,7276410,-23558,1142,7399256
Simple Plan,7268208,-6104,1169,7473014
Omah Lay,7259159,-32606,913,9345648
Whethan,7258084,98319,1152,7755433
Gracie Abrams,7249522,-5825,922,8264007
DVRST,7246959,7616,792,9129451
*NSYNC,7246621,9522,1185,7437447
Los Dos Carnales,7239280,61410,1107,7552257
Leona Lewis,7227033,411,1113,7543658
Shashaa Tirupati,7221220,6690,797,8962957
The Kooks,7219432,13,1222,7312391
PEDRO SAMPAIO,7218461,-11742,934,8176180
Cole Swindell,7214084,-45881,1065,8270647
Filipe Ret,7208354,2257,1118,7390235
Stebin Ben,7205929,45847,1171,7205929
