Artist,Streams,Daily,As lead,Solo,As feature
TiÃ«sto,11578.8,8.118,9227.3,2366.0,2351.5
Gucci Mane,11487.8,3.637,5328.7,1090.3,6159.0
Morgan Wallen,11458.9,17.014,10257.4,9632.9,1201.4
50 Cent,11340.1,7.942,7700.9,4578.1,3639.2
2 Chainz,11330.1,2.724,3379.5,781.2,7950.6
BLACKPINK,11302.4,8.962,10367.9,9662.8,934.5
Ellie Goulding,11269.1,5.278,8233.8,6312.3,3035.3
Alan Walker,11264.4,5.445,9412.7,3865.4,1851.7
DJ Snake,11207.9,3.842,8570.1,411.2,2637.8
Metallica,11191.1,7.177,11148.8,11025.7,42.3
Lil Peep,11055.1,6.6,10516.5,6038.3,538.7
Polo G,11035.5,6.831,7840.7,5093.5,3194.8
$uicideboy$,11033.5,11.912,10721.8,8600.4,311.6
Romeo Santos,11032.1,7.247,7580.5,4231.9,3451.6
Logic,10969.0,2.35,8847.4,4696.1,2121.6
Daft Punk,10946.3,5.601,6646.6,3968.3,4299.7
Manuel Turizo,10913.8,9.917,5383.3,3512.9,5530.5
P!nk,10825.3,5.438,9782.0,7316.9,1043.4
Justin Timberlake,10819.8,4.943,7873.1,5563.6,2946.8
Panic! At The Disco,10796.9,3.063,10026.8,9702.3,770.1
Die drei ???,10732.1,6.122,10732.1,10707.8,
Sean Paul,10726.5,5.755,5244.9,2092.3,5481.6
MarÃ­lia MendonÃ§a,10654.6,5.314,7802.9,5254.7,2851.7
Martin Garrix,10626.3,2.812,9598.9,936.0,1027.4
Justin Quiles,10531.3,3.868,3269.3,1463.7,7262.0
Lil Nas X,10529.4,3.622,10529.4,5913.2,
Roddy Ricch,10464.8,3.588,4955.4,3611.3,5509.5
Jhayco,10304.0,11.857,4255.7,942.9,6048.3
Offset,10209.2,3.932,2397.2,366.3,7812.0
Major Lazer,10170.6,2.57,8986.2,32.9,1184.3
Arijit Singh,10160.4,23.419,3736.1,2209.7,6424.2
AC/DC,10124.2,5.824,10124.2,10124.2,
James Arthur,10118.9,6.91,9091.9,7993.4,1027.0
Tory Lanez,10089.6,6.107,6261.0,4068.4,3828.7
Playboi Carti,10060.6,11.858,7317.3,4722.3,2743.4
Pharrell Williams,10033.8,4.119,2452.6,1883.4,7581.3
blackbear,10017.6,2.65,6908.1,5534.1,3109.4
Fall Out Boy,9978.4,4.786,8987.6,8276.2,990.8
Lenny TavÃ¡rez,9951.8,3.964,723.7,143.6,9228.2
John Mayer,9872.4,3.146,9227.4,8975.5,645.1
Wisin,9831.5,2.552,3566.7,488.9,6264.8
Kid Cudi,9787.9,4.965,7109.3,3892.3,2678.6
Disney,9786.7,5.795,,,9786.7
The Neighbourhood,9751.9,7.968,9747.8,9380.7,4.1
NF,9720.3,5.392,9568.0,8620.8,152.4
Lil Durk,9669.3,7.759,4046.2,1744.7,5623.1
USHER,9629.7,4.44,6939.9,3005.9,2689.8
Luis Miguel,9536.1,8.025,9529.8,9519.4,6.2
5 Seconds of Summer,9490.0,3.823,8903.6,8461.2,586.4
Machine Gun Kelly,9484.5,3.217,8192.6,3171.6,1291.9
Joji,9420.8,5.655,8639.4,7602.6,781.5
Zedd,9407.0,2.396,6398.1,206.8,3008.9
Chance the Rapper,9370.5,2.049,3721.7,626.5,5648.7
Robin Schulz,9295.7,3.606,5551.3,295.3,3744.4
Flo Rida,9290.1,4.017,7507.9,3396.4,1782.3
Becky G,9281.5,4.502,5835.5,1544.0,3446.1
Macklemore,9200.1,3.488,2221.7,317.8,6978.4
Nirvana,9195.0,5.892,9195.0,9194.5,
The Kid LAROI,9191.1,4.283,8060.6,3283.7,1130.6
Britney Spears,9182.0,5.334,7974.9,7483.3,1207.1
Anne-Marie,9167.4,5.072,3823.1,2968.2,5344.3
Lauv,9157.6,3.76,8290.4,5549.2,867.2
Lewis Capaldi,9150.2,5.705,9150.2,8754.5,
ZAYN,9133.0,3.069,8230.5,4222.8,902.5
Akon,9106.1,5.823,4109.3,2214.6,4996.8
Anitta,9084.4,3.513,4520.3,1962.0,4564.2
Black Eyed Peas,9028.8,5.186,8732.8,5993.1,296.0
French Montana,9026.4,2.211,4393.2,282.4,4633.2
ROSALÃA,9012.6,7.167,6061.0,3247.6,2951.5
Zion & Lennox,8983.4,3.059,3314.0,1654.7,5669.4
Luke Combs,8970.8,9.468,8600.4,8118.1,370.3
Little Mix,8952.3,2.321,7730.6,5610.5,1221.7
Zara Larsson,8917.1,2.792,5954.3,4408.5,2962.8
Duki,8908.9,9.168,4267.2,1839.1,4641.6
Green Day,8891.1,5.746,8813.6,8810.0,77.5
Lil Yachty,8879.2,3.684,3474.1,1322.5,5405.1
John Legend,8849.9,2.612,5530.4,4393.9,3319.5
Bizarrap,8845.3,9.61,7491.0,66.9,1354.3
Camilo,8839.2,4.17,5343.7,2430.8,3495.4
Don Omar,8802.4,7.878,7038.2,3701.4,1764.2
DJ Khaled,8774.2,2.854,8193.3,426.9,580.9
Lil Tjay,8771.7,5.164,5890.4,3301.6,2881.3
Jorge & Mateus,8513.7,4.779,6331.2,6272.6,2182.5
Fleetwood Mac,8508.1,5.985,8508.0,8507.6,0.1
Skrillex,8498.3,3.198,3947.9,1111.7,4550.4
Pritam,8447.4,15.258,7141.5,3.9,1305.9
Bob Marley & The Wailers,8397.8,4.808,8305.7,7624.7,92.1
Pink Floyd,8383.3,4.034,8383.3,8381.4,
Henrique & Juliano,8361.9,7.396,6842.1,6610.0,1519.8
Childish Gambino,8350.1,4.285,7671.6,7225.3,678.5
2Pac,8348.1,5.01,8153.3,3465.5,194.8
Enrique Iglesias,8290.5,3.171,6880.7,1986.2,1409.9
Rick Ross,8244.2,2.693,2362.2,567.7,5882.0
Michael BublÃ©,8211.0,1.864,7846.6,6781.0,364.4
Guns N' Roses,8186.8,4.878,8186.8,8186.8,
Dr. Dre,8178.1,4.631,5333.0,361.7,2845.1
Meek Mill,8143.2,2.231,5978.2,1628.4,2165.0
Meghan Trainor,8132.5,3.337,6565.9,5209.4,1566.6
Ne-Yo,8109.1,4.369,3958.5,3467.3,4150.6
Ava Max,8088.8,4.77,5679.1,5260.8,2409.7
Reik,8053.9,3.952,6757.1,3260.6,1296.8
Megan Thee Stallion,8046.4,3.492,4754.8,2843.6,3291.6
The Rolling Stones,8034.9,3.905,8022.1,7902.2,12.7
Gorillaz,8027.6,4.404,8025.8,5051.1,1.9
Florida Georgia Line,7957.5,2.362,5151.2,3722.6,2806.4
Christian Nodal,7951.8,5.676,5621.2,4943.1,2330.6
Morat,7938.4,7.049,6433.3,4621.6,1505.1
Alessia Cara,7937.4,2.063,5002.2,4837.5,2935.2
Miguel,7935.8,4.631,4282.2,2871.0,3653.5
Yandel,7885.6,5.087,3867.4,849.8,4018.2
Clean Bandit,7872.2,2.224,7650.8,68.3,221.3
Bryson Tiller,7865.6,4.37,5054.6,4837.8,2810.9
Banda MS de Sergio LizÃ¡rraga,7841.8,4.33,7268.5,6826.7,573.3
Mariah Carey,7800.8,3.997,7114.8,5860.3,685.9
Jack Harlow,7674.4,4.031,5246.8,3127.3,2427.5
Russ,7572.6,2.986,7304.8,6361.3,267.8
Hozier,7560.2,7.187,7126.4,6941.2,433.7
Peso Pluma,7553.2,37.826,3507.1,1098.2,4046.1
Labrinth,7533.4,4.642,4793.7,3702.9,2739.7
Kali Uchis,7533.3,10.398,4271.2,3077.3,3262.1
Darell,7516.4,2.73,879.3,161.0,6637.1
Jeremih,7514.7,2.014,3888.9,1516.0,3625.8
Luis Fonsi,7488.8,2.101,6637.0,1020.2,851.8
Gusttavo Lima,7468.3,7.232,6158.0,5701.5,1310.3
Jonas Blue,7463.9,2.489,6184.3,31.4,1279.6
Alicia Keys,7366.7,3.602,5350.1,4752.2,2016.6
Junior H,7275.6,18.11,5077.4,3231.2,2198.1
Lorde,7267.7,3.049,6967.5,6651.0,300.2
YG,7239.1,1.905,3401.9,873.5,3837.2
Julia Michaels,7216.6,2.287,3419.3,2510.4,3797.3
Radiohead,7194.4,5.89,7194.4,7134.9,
Bastille,7160.2,2.741,4753.0,4347.8,2407.2
NAV,7145.3,2.366,4659.6,1553.2,2485.6
Christina Aguilera,7122.0,3.135,4063.9,3082.4,3058.0
Melanie Martinez,7100.9,4.944,7100.9,6987.8,
Wisin & Yandel,7089.7,4.616,4770.2,2722.6,2319.6
David Bowie,7087.7,3.105,5658.7,5535.7,1429.0
TWICE,7073.0,4.87,7024.3,7002.9,48.8
U2,7060.5,3.125,6655.8,6473.9,404.7
Tame Impala,7058.1,4.962,6560.5,6473.5,497.6
Jul,7056.4,5.831,5372.3,4340.2,1684.1
Don Toliver,7055.3,7.022,3573.5,2592.5,3481.9
Foo Fighters,7054.0,4.282,7054.0,7047.6,
Kehlani,7036.5,2.164,3611.9,2435.7,3424.6
The 1975,6965.3,3.573,6762.1,6740.3,203.2
Ninho,6949.2,4.514,4032.8,3109.6,2916.3
Elvis Presley,6943.8,3.707,6905.4,6288.3,38.4
Troye Sivan,6889.3,4.096,4702.0,3862.8,2187.4
The Notorious B.I.G.,6880.2,3.167,5810.4,4242.5,1069.8
JhenÃ© Aiko,6877.8,3.149,3651.3,1903.3,3226.5
System Of A Down,6838.8,4.787,6838.0,6827.5,0.8
blink-182,6837.4,3.502,6736.6,6703.5,100.9
The Killers,6809.7,3.109,6809.2,6661.3,0.5
Dalex,6805.6,2.411,3140.4,385.6,3665.2
Paulo Londra,6790.0,2.896,5384.3,4358.7,1405.8
ABBA,6773.1,4.925,6773.1,6773.1,
Frank Sinatra,6721.2,2.895,6526.1,4879.4,195.0
Tove Lo,6672.1,2.189,4161.8,3050.4,2510.3
6ix9ine,6652.0,1.543,5362.0,1851.3,1289.9
Led Zeppelin,6604.5,3.07,6604.5,6604.5,
T-Pain,6596.8,3.11,2796.6,485.0,3800.2
Rita Ora,6569.4,1.644,3333.9,2518.9,3235.6
Paramore,6533.1,3.999,6533.1,6520.9,
Kesha,6478.4,2.915,4512.8,4078.1,1965.5
Slipknot,6451.7,4.055,6451.7,6451.7,
Rae Sremmurd,6441.3,1.753,5667.5,3077.6,773.8
Rammstein,6428.0,4.422,6428.0,6331.9,
PARTYNEXTDOOR,6418.8,3.787,3922.1,2305.1,2496.8
NATTI NATASHA,6408.7,1.783,2781.5,583.7,3627.2
De La Ghetto,6396.5,2.822,1020.3,310.9,5376.2
Marc Anthony,6395.9,2.838,3951.7,3716.6,2444.2
Bon Jovi,6334.4,3.816,6332.6,6254.1,1.8
Daniel Caesar,6325.8,5.363,4558.3,2212.6,1767.5
6LACK,6309.5,2.213,3043.2,2079.3,3266.2
Fetty Wap,6299.5,1.222,3837.6,2169.0,2461.9
Tainy,6289.5,6.188,2640.4,,3649.2
Anderson .Paak,6287.2,3.339,2022.3,1069.4,4265.0
Ãengo Flow,6247.0,4.504,1176.0,367.7,5071.1
Alok,6240.2,3.909,4948.4,201.0,1291.7
Chencho Corleone,6239.5,4.58,151.1,74.0,6088.4
Madonna,6238.4,5.801,5787.5,4816.7,450.9
Bonez MC,6168.6,2.594,3285.9,678.5,2882.8
T.I.,6155.2,2.715,3178.2,1155.5,2977.0
Luke Bryan,6147.7,3.172,5349.7,5261.5,798.0
Creedence Clearwater Revival,6127.3,4.606,6127.3,6123.1,
Muse,6106.6,2.49,6106.6,6083.8,
Grupo Firme,6077.1,6.954,4830.4,1591.7,1246.7
Jennifer Lopez,6049.8,2.443,4902.2,2027.1,1147.7
Felix Jaehn,6038.8,2.504,2707.1,45.1,3331.7
Jonas Brothers,6010.9,3.716,4753.1,4560.3,1257.7
Juicy J,5977.6,2.141,1299.5,115.6,4678.1
ZÃ© Neto & Cristiano,5975.4,4.894,5093.1,4896.5,882.2
The Lumineers,5966.5,4.367,5939.3,5925.3,27.3
Natanael Cano,5966.0,12.952,4185.1,2277.6,1780.9
Rels B,5963.3,8.798,4939.9,4037.6,1023.3
Oasis,5936.2,2.917,5936.2,5935.4,
Niall Horan,5917.1,2.692,4805.6,4482.0,1111.5
Jack Johnson,5877.2,2.369,5666.6,5504.0,210.6
Steve Aoki,5871.1,1.672,3445.2,11.9,2425.8
Charli XCX,5868.9,3.689,2845.4,1707.3,3023.4
Ludacris,5860.6,3.087,1595.9,499.6,4264.7
Hailee Steinfeld,5845.8,1.338,5282.7,2155.0,563.1
Eladio Carrion,5789.7,9.292,4250.2,1430.2,1539.5
Matheus & Kauan,5787.3,4.231,4632.5,3341.2,1154.8
Wizkid,5777.8,3.465,1402.4,506.0,4375.3
Jess Glynne,5760.9,1.678,2449.1,2149.8,3311.9
R3HAB,5741.5,2.898,3468.4,203.5,2273.1
My Chemical Romance,5734.7,3.495,5734.7,5702.8,
Glass Animals,5716.6,2.737,5705.1,5279.5,11.6
Lil Tecca,5710.2,4.558,4879.5,3838.9,830.7
Bring Me The Horizon,5706.9,3.311,5359.8,4791.9,347.1
Kevin Gates,5691.1,1.735,4836.9,4211.0,854.3
Mumford & Sons,5670.5,1.617,5505.0,5291.7,165.6
Alesso,5668.9,2.203,3282.2,687.2,2386.8
Bazzi,5658.7,1.556,5593.7,4713.7,65.0
MÃ,5648.7,1.272,1516.9,1226.0,4131.8
Kid Ink,5641.8,1.24,2489.6,774.4,3152.2
ScHoolboy Q,5635.4,1.61,3496.3,1244.7,2139.2
RAF Camora,5630.8,2.448,2345.4,1136.1,3285.4
Piso 21,5621.6,2.827,4955.4,1132.0,666.2
Carin Leon,5573.1,11.935,4203.5,3145.4,1369.6
Quevedo,5569.4,13.33,2755.1,1777.3,2814.4
Florence + The Machine,5565.8,3.115,5565.8,5198.9,
Stray Kids,5554.2,7.147,5471.5,5387.3,82.7
Whitney Houston,5524.6,2.816,4655.2,4141.8,869.4
Bryant Myers,5504.1,3.981,1993.9,698.2,3510.2
Mark Ronson,5502.9,2.079,3927.9,8.9,1575.0
Maria Becerra,5496.8,7.925,1873.2,1283.4,3623.6
Nickelback,5483.2,3.09,5483.2,5442.5,
Sfera Ebbasta,5418.2,4.814,2288.0,1466.5,3130.3
Prince Royce,5410.3,2.192,4010.0,2569.5,1400.4
Bruce Springsteen,5405.8,2.523,5345.8,5335.9,60.0
League of Legends,5403.5,3.04,2307.2,332.1,3096.3
Disclosure,5396.2,1.672,5204.4,541.3,191.8
Cheat Codes,5394.0,0.755,3523.5,188.6,1870.5
Stevie Wonder,5379.2,2.565,4992.3,4822.7,386.8
Alejandro FernÃ¡ndez,5378.2,2.747,5032.9,4116.4,345.2
Five Finger Death Punch,5375.0,1.979,5375.0,5019.2,
MÃ¥neskin,5365.7,5.767,5360.0,5192.1,5.7
ManÃ¡,5356.8,3.765,5356.3,4092.4,0.4
Conan Gray,5352.1,4.63,5203.1,5203.1,149.0
Mora,5324.5,17.252,4051.0,1308.1,1273.5
Kane Brown,5319.1,2.278,3650.0,2341.6,1669.2
Cartel De Santa,5317.6,4.159,4940.3,3406.1,377.3
Avril Lavigne,5314.8,2.637,5208.8,4943.4,106.0
Brent Faiyaz,5313.1,7.603,3895.8,3453.8,1417.4
JID,5312.6,3.924,1392.8,717.5,3919.8
Lizzo,5311.1,2.452,5181.4,4211.2,129.7
Kelly Clarkson,5295.4,3.075,5018.1,4773.8,277.3
Wesley SafadÃ£o,5269.3,2.637,3589.2,2218.3,1680.2
Ski Mask The Slump God,5266.0,1.858,3611.2,2455.0,1654.8
Summer Walker,5251.9,4.701,4364.5,2129.1,887.4
The Script,5245.4,2.023,5225.4,3995.8,20.0
Kings of Leon,5242.0,2.037,5242.0,5227.4,
Maiara & Maraisa,5237.6,3.006,1983.0,1635.1,3254.6
Vance Joy,5224.8,2.603,5079.7,4986.7,145.2
Aventura,5205.3,3.941,5167.6,3430.2,37.7
Aerosmith,5186.2,2.879,4950.7,4943.9,235.5
Galantis,5183.2,1.44,4556.3,2571.1,626.9
iann dior,5168.2,1.489,2466.8,1287.4,2701.4
NLE Choppa,5164.7,4.566,4085.8,2528.1,1078.9
Jason Mraz,5160.2,1.847,5001.0,4232.6,159.2
Giveon,5152.3,3.53,2884.1,2835.8,2268.2
Brytiago,5137.4,2.461,1881.4,131.4,3256.0
Amy Winehouse,5129.8,2.431,4765.9,4566.0,364.0
Rex Orange County,5113.9,2.36,4727.2,4148.4,386.7
Trey Songz,5108.3,1.214,3591.8,2524.7,1516.5
Nate Dogg,5105.2,2.821,777.2,142.7,4327.9
YNW Melly,5102.6,2.257,4641.2,3045.8,461.4
Fifth Harmony,5094.8,1.105,4817.3,1961.3,277.5
Calibre 50,5088.4,2.584,4639.2,4262.2,449.2
Thomas Rhett,5071.9,1.78,4690.7,3895.6,381.2
Lil Skies,5068.3,0.968,4112.7,2506.8,955.6
Johnny Cash,5063.4,2.018,4451.1,3457.2,612.3
Macklemore & Ryan Lewis,5058.0,2.317,5058.0,108.3,
Danny Ocean,5051.7,3.253,4000.2,3839.0,1051.4
Billy Joel,4987.6,3.068,4942.7,4910.9,45.0
Lost Frequencies,4978.3,3.937,4637.8,1242.8,340.5
H.E.R.,4970.4,2.434,2781.1,1680.4,2189.3
Ryan Lewis,4923.0,2.2,,,4923.0
Backstreet Boys,4917.2,2.387,4625.0,4601.3,292.3
Timbaland,4913.5,3.796,2124.7,20.1,2788.8
Chris Stapleton,4911.6,4.42,3927.8,3927.8,983.8
Mustard,4910.4,1.669,2560.8,2.1,2349.6
Alejandro Sanz,4894.0,2.371,3658.8,2880.1,1235.2
Tate McRae,4879.8,3.287,4073.8,3707.9,806.0
Glee Cast,4870.1,1.123,4870.1,4106.8,
Nelly,4850.4,2.47,3982.4,1438.5,868.0
Ricardo Arjona,4829.4,2.798,4819.6,4321.3,9.8
Burna Boy,4829.1,7.417,2709.4,1928.7,2119.7
Bon Iver,4820.9,2.488,3432.1,3432.1,1388.8
Lil Pump,4813.1,0.624,2465.1,2014.8,2348.0
A$AP Ferg,4812.1,1.457,3036.9,1050.2,1775.2
El Alfa,4804.3,4.63,2367.5,402.9,2436.8
Hans Zimmer,4803.1,3.832,4467.9,2969.7,335.2
Jason Aldean,4798.3,2.349,4572.0,4159.0,226.3
The Offspring,4784.3,3.72,4784.3,4706.2,
Disturbed,4778.2,1.949,4778.2,4743.7,
Nio Garcia,4778.2,1.449,3787.4,105.6,990.7
Anirudh Ravichander,4771.6,14.615,3809.2,978.8,962.4
DJ Luian,4764.7,2.767,961.9,,3802.7
Pearl Jam,4755.4,2.137,4755.4,4744.2,
Steve Lacy,4733.9,6.474,3971.9,3895.9,762.0
Eagles,4731.3,2.695,4731.3,4731.3,
TINI,4710.2,3.734,3625.9,921.7,1084.3
The Strokes,4688.3,2.816,4688.3,4667.8,
Calum Scott,4663.9,2.76,3201.9,2723.0,1462.0
Juanes,4639.2,2.773,3005.4,2339.2,1633.8
Capital Bra,4631.9,0.943,3134.4,1147.6,1497.5
Fuerza Regida,4584.0,10.918,3785.1,1686.7,798.9
24kGoldn,4577.9,1.51,3633.7,1174.5,944.2
James Bay,4571.2,1.275,4449.5,4127.8,121.7
Moneybagg Yo,4563.3,2.839,2727.3,1419.6,1836.0
Three Days Grace,4562.7,2.203,4562.7,4546.0,
George Ezra,4562.0,2.094,4562.0,4422.6,
Flume,4536.2,1.282,4388.6,1075.8,147.6
Mac DeMarco,4515.8,4.706,4473.5,4473.5,42.3
Avenged Sevenfold,4511.3,2.561,4507.0,4501.8,4.3
Alec Benjamin,4510.0,2.642,4326.1,4176.3,184.0
Phil Collins,4497.7,2.437,4178.5,4136.8,319.2
Original Broadway Cast of Hamilton,4483.0,1.662,536.5,536.5,3946.5
Mambo Kingz,4474.5,2.63,6.6,0.9,4467.9
KHEA,4439.8,2.467,2065.2,382.8,2374.6
AFROJACK,4425.3,1.485,1392.0,49.5,3033.4
Tones And I,4424.9,1.221,4394.8,4393.7,30.1
Dean Lewis,4424.6,2.465,4130.5,4092.5,294.1
X Ambassadors,4416.1,1.507,2458.6,1960.0,1957.5
PnB Rock,4410.5,0.923,2015.2,1121.5,2395.3
B.o.B,4404.9,2.148,3015.0,439.3,1389.9
Jay Wheeler,4361.0,3.306,2552.4,443.0,1808.6
Pablo AlborÃ¡n,4360.3,2.111,3595.8,2706.3,764.5
Rich The Kid,4357.1,1.066,2370.5,1175.1,1986.6
Dan + Shay,4350.6,1.676,4265.8,3067.4,84.7
Noriel,4341.0,2.445,594.3,139.3,3746.7
benny blanco,4339.1,1.447,3452.7,3.4,886.5
Lunay,4336.4,1.21,2505.5,231.1,1830.9
Ricky Martin,4335.6,1.648,3692.5,1834.0,643.1
Bryan Adams,4330.9,4.812,4121.6,3745.2,209.3
LANY,4315.3,1.788,3768.4,3706.8,546.9
Lin-Manuel Miranda,4311.2,1.805,1506.6,149.8,2804.5
CÃ©line Dion,4301.5,1.978,4113.8,3645.2,187.7
Cigarettes After Sex,4299.8,5.898,4299.8,4299.8,
Train,4297.8,1.841,4042.6,3915.6,255.1
Lil Mosey,4291.2,1.021,3702.3,3010.4,588.9
Bee Gees,4260.2,2.723,4196.8,4096.8,63.4
Dire Straits,4246.5,2.67,4246.5,4246.5,
Lukas Graham,4245.2,2.514,3983.2,3736.7,262.0
